run_id,model,source,four_class_usd,two_class_usd,ratio,cache_read_tokens,cache_creation_tokens
aetrun_c77dbe5ee7bb_002,claude-haiku-4-5-20251001,aet_run,0.008704,0.019246,2.2112,13348,5884
aetrun_ed15b7f5d6d8_001,claude-opus-4-8,aet_run,0.552536,1.59825,2.8926,83770,22715
aetrun_ed15b7f5d6d8_001,claude-opus-4-8,aet_run,0.326761,1.084875,3.3201,59661,12616
aetrun_ed15b7f5d6d8_5ebcc8_001,claude-opus-4-8,aet_run,0.425346,1.4433,3.3932,79864,16056
aetrun_ed15b7f5d6d8_001,claude-opus-4-8,aet_run,0.31085,1.072575,3.4505,59691,11761
aetrun_ed15b7f5d6d8_001,claude-opus-4-8,aet_run,0.289381,1.04901,3.625,59228,10653
aetrun_4ce923d5517d_011,claude-sonnet-4-6,aet_run,0.150257,0.79806,5.3113,245589,20383
aetrun_f38047ddf4a5_003,claude-opus-4-8,aet_run,0.521295,3.025215,5.8033,188990,12652
aetrun_1e41392b737d_009,claude-sonnet-4-6,aet_run,0.068363,0.503673,7.3676,162647,5116
aetrun_f38047ddf4a5_004,claude-opus-4-8,aet_run,0.141923,1.417605,9.9886,94495,0
